year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2004,2,AA,American Airlines Inc.,PVD,"Providence, RI: Theodore Francis Green State",141,50,8.71,4.59,11.63,0,25.07,2,0,2654,472,271,363,0,1548
2004,2,AA,American Airlines Inc.,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",446,119,33.09,12.67,35.77,0,37.48,5,0,5607,1329,815,1349,0,2114
2004,2,AA,American Airlines Inc.,RIC,"Richmond, VA: Richmond International",83,17,5.59,3.07,3.02,0,5.32,2,0,1271,416,290,166,0,399
2004,2,AA,American Airlines Inc.,RNO,"Reno, NV: Reno/Tahoe International",174,43,11.07,11.82,7.05,0,13.06,1,0,2004,491,492,267,0,754
2004,2,AA,American Airlines Inc.,RST,"Rochester, MN: Rochester International",54,14,3.9,0.81,1.26,0,8.03,0,0,931,215,57,72,0,587
2004,2,AA,American Airlines Inc.,RSW,"Fort Myers, FL: Southwest Florida International",174,50,13.58,5.27,22.54,0,8.62,0,0,2074,587,192,865,0,430
2004,2,AA,American Airlines Inc.,SAN,"San Diego, CA: San Diego International",542,121,34.18,19.95,30.26,0,36.62,7,0,5362,1314,1035,896,0,2117
2004,2,AA,American Airlines Inc.,SAT,"San Antonio, TX: San Antonio International",472,129,25.51,18.91,42.71,0,41.88,4,0,5878,1174,839,1450,0,2415
2004,2,AA,American Airlines Inc.,SDF,"Louisville, KY: Louisville International-Standiford Field",53,17,2.23,3.98,5.25,0,5.54,0,0,600,138,163,118,0,181
2004,2,AA,American Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",505,90,25.69,15.06,19.46,0.93,28.86,9,2,3944,1237,612,776,14,1305
2004,2,AA,American Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",931,215,41.81,19.68,121.35,0.63,31.54,26,1,10619,2193,1015,5801,27,1583
